mp_id,auto_present,auto_absent,manualy_present,manualy_absent,manualy_confirmabsent
18089,492,12,422,79,0
11728,469,35,482,12,7
19859,318,11,302,26,0
18016,454,50,444,46,11
17959,424,80,417,65,19
4761,396,108,413,25,63
5509,35,51,46,40,0
18090,360,144,277,224,0
16716,414,55,451,18,0
15654,471,33,367,126,8
15733,420,84,334,162,5
18055,435,69,422,63,16
15837,468,36,498,3,0
15794,486,18,498,3,0
15672,423,81,360,80,61
793,483,21,474,15,12
18092,464,40,464,24,13
15685,464,40,449,33,19
2524,432,72,439,56,6
15650,4,0,3,0,0
15669,416,88,299,173,29
17993,480,24,462,37,2
16067,481,23,479,18,4
12290,400,104,358,125,18
15839,485,19,484,17,0
17983,342,162,329,168,4
11118,339,165,370,14,117
18058,483,21,481,11,9
18049,200,100,195,102,4
18059,474,30,501,0,0
5584,27,112,100,36,3
18065,3,501,84,417,0
8723,460,44,454,44,3
3471,461,43,478,15,8
5503,305,16,291,12,17
16340,325,19,317,23,2
15684,431,73,366,105,30
18604,432,54,425,56,3
18007,298,206,436,39,26
4427,472,32,467,7,27
18060,129,375,148,315,38
17994,493,11,479,20,2
15762,436,68,444,57,0
18061,350,154,443,55,3
5566,436,68,463,20,18
15757,318,186,479,22,0
15761,483,21,482,19,0
9776,435,69,277,209,15
18062,466,38,431,61,9
18207,28,22,32,18,1
18063,425,79,426,75,0
5520,436,68,380,101,20
15734,463,41,465,18,18
19550,233,1,228,2,0
18064,286,218,348,59,94
17949,451,53,442,54,5
17568,338,77,320,77,15
14393,279,225,253,248,0
18027,425,79,402,89,10
15829,323,181,213,288,0
11173,255,39,101,179,10
17972,272,232,330,94,77
8725,43,461,127,332,42
16698,495,9,484,17,0
11094,482,22,478,22,1
15826,439,65,186,315,0
18066,494,10,494,7,0
17998,251,253,308,193,0
15838,333,11,323,12,7
15796,465,39,458,43,0
15802,413,91,427,68,6
20287,216,12,208,16,0
15655,479,25,470,27,4
15257,410,94,401,16,84
8737,436,68,235,266,0
18069,226,278,373,128,0
18043,379,125,420,51,30
18067,446,58,413,77,11
18068,430,74,394,101,6
17964,232,34,234,29,4
15787,478,26,486,7,8
19857,310,19,286,41,1
17961,485,19,496,5,0
18008,379,125,396,81,24
17963,155,349,453,22,26
12265,114,390,283,112,106
8132,419,85,445,19,37
15807,485,19,472,29,0
18021,393,111,374,102,25
11596,418,86,410,77,14
8741,384,120,448,53,0
18044,4,0,2,1,0
5606,405,99,278,223,0
8746,320,184,477,24,0
18070,415,89,479,22,0
18046,437,67,421,62,18
18071,454,50,376,119,6
18072,103,84,97,82,6
17992,60,29,51,38,0
17985,472,32,464,20,17
11121,453,51,428,15,58
17952,318,186,348,140,13
15827,442,62,422,79,0
15813,392,112,495,6,0
8238,388,116,410,49,42
18074,409,95,418,71,12
17984,463,41,435,39,27
18002,440,64,456,33,12
17962,454,50,468,23,10
18075,444,60,411,90,0
15953,132,55,129,48,8
17995,197,307,402,99,0
5414,316,188,307,191,3
15646,119,51,146,12,10
17973,168,2,167,0,1
18077,459,45,436,33,32
14674,488,16,494,7,0
19112,30,3,29,1,0
18078,490,14,483,18,0
18036,472,32,481,19,1
18017,422,82,434,66,1
18083,390,114,435,66,0
18079,374,130,426,75,0
20121,287,1,282,2,0
18009,381,123,386,98,17
17956,243,261,281,209,11
18080,440,64,430,71,0
8757,317,79,353,21,23
15815,424,80,447,54,0
18081,62,442,266,235,0
17986,480,24,421,72,8
15768,320,184,458,41,2
2284,388,116,272,209,20
6130,483,21,492,9,0
2394,292,212,257,228,16
15652,73,431,167,311,23
18082,479,25,464,33,4
15767,482,22,454,22,25
18084,465,39,448,53,0
15818,340,164,68,433,0
5578,357,147,75,421,5
18085,443,61,418,75,8
6201,476,28,465,27,9
18086,273,231,323,177,1
15644,449,55,474,27,0
15727,392,112,411,88,2
3849,116,388,225,159,117
18221,490,9,477,14,6
18222,411,88,418,66,13
12272,352,82,305,126,0
18087,309,195,364,137,0
18088,464,40,449,43,9
15790,465,39,456,42,3
15780,425,79,431,70,0
18057,4,0,3,0,0
2301,193,311,118,383,0
18091,427,77,451,44,6
18015,334,170,346,151,4
15730,428,76,420,58,23
17991,358,146,216,268,17
17976,430,74,443,35,23
20536,121,16,130,3,0
17955,465,39,445,38,18
2158,12,82,18,72,0
833,195,309,311,177,13
19126,324,111,369,51,12
8771,480,24,207,294,0
2320,406,98,391,89,21
18031,326,178,338,82,81
18093,434,70,481,20,0
13694,476,28,335,166,0
7371,475,29,471,28,2
18094,420,84,401,100,0
16618,452,52,438,53,10
15801,250,254,398,101,2
5142,261,68,256,37,35
17967,316,188,348,145,8
15816,451,53,211,200,90
17975,4,0,1,2,0
1351,448,56,454,25,22
2155,4,0,3,0,0
12455,456,48,478,18,5
18006,429,75,448,44,9
5423,486,18,262,238,1
17997,146,24,148,5,15
8781,20,484,40,460,1
15645,421,83,439,47,15
1897,500,4,501,0,0
17990,432,72,350,145,6
15668,8,6,5,8,0
15309,493,11,484,0,17
8786,405,99,254,242,5
18034,455,49,183,318,0
7175,408,96,403,90,8
18095,439,65,416,74,11
11098,471,33,457,43,1
17414,482,22,371,130,0
11166,432,67,366,131,0
17981,176,328,391,98,12
20103,277,17,271,19,0
18096,133,371,238,263,0
18097,352,152,263,217,21
8693,422,82,325,174,2
2314,403,101,490,11,0
18167,480,24,471,11,19
18165,363,141,422,69,10
18028,287,217,420,64,17
17965,360,144,430,14,57
18048,446,58,455,40,6
17969,441,63,466,35,0
18005,423,81,399,87,15
17970,489,15,489,12,0
18107,177,327,235,266,0
15901,486,18,487,10,4
18108,294,210,393,108,0
6073,450,54,440,53,8
17957,384,120,367,68,66
15649,158,12,163,1,4
17999,455,49,446,17,38
735,429,75,429,30,42
18109,369,135,370,70,61
15804,480,24,477,24,0
18160,33,26,39,20,0
18110,479,25,407,88,6
15840,440,59,440,50,7
18050,439,65,439,44,18
18111,322,182,360,121,20
8802,8,3,11,0,0
8803,430,74,414,62,25
13646,475,29,479,22,0
15805,159,11,145,23,0
18112,464,40,371,130,0
18115,469,35,464,37,0
18052,442,62,434,67,0
15824,460,44,391,106,4
18113,465,39,489,12,0
18011,423,81,405,79,17
15756,389,115,310,179,12
18114,445,59,469,32,0
2179,485,19,361,117,23
11694,239,265,311,178,12
16672,270,234,427,34,40
17413,487,17,455,46,0
10204,460,44,470,31,0
18605,416,70,402,82,0
17977,355,149,454,24,23
5470,440,64,460,10,31
17958,358,146,364,73,64
15916,373,131,274,209,18
8815,415,89,222,205,74
18116,481,23,483,18,0
6332,449,55,417,18,66
15662,445,59,449,52,0
18054,390,114,426,49,26
15647,197,289,411,69,4
4132,81,100,136,43,0
7718,318,186,255,208,38
11109,375,129,122,241,138
18117,456,48,446,43,12
8818,464,40,425,75,1
18014,354,150,396,100,5
18030,18,37,23,32,0
8826,457,47,408,65,28
8827,489,15,492,4,5
15972,442,57,345,149,3
18163,446,58,477,17,7
17974,427,77,431,52,18
18013,441,63,409,85,7
2323,127,3,114,16,0
15732,396,108,339,104,58
15744,462,42,460,22,19
18118,415,89,440,44,17
17966,426,78,459,21,21
15665,319,182,277,122,100
2262,429,75,426,47,28
2356,487,17,469,31,1
5500,261,243,277,224,0
17953,450,54,446,39,16
18119,411,93,421,56,24
11342,491,13,427,58,16
18120,476,28,477,12,12
12003,428,76,438,56,7
18161,495,9,487,14,0
15828,492,12,494,7,0
18121,501,3,496,2,3
18039,260,244,333,156,12
19740,318,11,318,10,0
20107,195,99,41,249,0
11106,249,255,248,235,18
15814,395,109,426,75,0
15810,473,31,477,24,0
11102,362,142,423,78,0
18045,356,148,309,152,40
15773,470,34,23,463,15
15819,148,356,146,355,0
16517,461,43,466,5,30
17996,436,68,439,61,1
18037,463,41,436,39,26
17978,389,115,308,172,21
17666,35,54,47,42,0
2370,145,25,153,2,13
15823,395,109,166,335,0
18122,254,250,342,159,0
19058,425,20,403,39,0
8830,213,291,353,148,0
18123,113,391,271,230,0
15725,372,132,361,140,0
15830,400,104,352,117,32
13379,496,8,491,5,5
17108,314,190,368,132,1
18040,65,65,70,48,12
8832,269,25,264,16,10
13562,83,421,187,310,4
15771,110,394,57,444,0
17982,465,39,445,45,11
18019,460,44,475,25,1
15817,458,46,326,136,39
18018,442,62,451,30,20
15806,426,78,477,16,8
19622,328,43,311,38,19
18025,374,130,383,71,47
15651,466,38,457,32,12
15687,10,4,11,2,0
5380,464,40,394,92,15
15741,452,52,360,141,0
15671,452,52,445,37,19
15670,478,26,451,48,2
5464,479,25,471,20,10
18124,93,411,386,103,12
11584,498,6,497,0,4
18125,411,93,411,70,20
15674,351,45,383,11,3
8696,330,174,302,196,3
18126,130,374,471,18,12
15657,2,2,3,0,0
11131,382,122,482,19,0
862,504,0,500,1,0
8125,445,59,461,34,6
8838,245,259,214,286,1
15680,489,10,476,20,1
20626,103,0,99,0,0
18127,395,109,416,77,8
17960,189,315,405,96,0
18164,489,15,487,9,5
15760,378,126,410,60,31
5422,383,121,422,40,39
18042,382,122,389,49,63
18128,439,65,456,34,11
15800,433,71,240,261,0
11620,425,79,257,242,2
15667,456,48,450,50,1
18022,420,84,419,32,50
15774,463,41,429,72,0
18032,203,301,198,301,2
2308,503,1,501,0,0
18414,449,46,452,35,6
18129,476,28,475,20,6
9123,480,24,455,40,6
18053,403,101,407,87,7
18130,387,117,415,68,18
20105,278,16,259,30,1
18131,474,30,470,31,0
3008,3,1,3,0,0
18029,438,66,442,28,31
18245,431,67,398,98,0
18132,241,263,430,67,4
10096,442,62,454,15,32
16430,227,274,433,47,19
18056,443,61,441,54,6
5582,155,349,204,290,7
20777,32,1,29,1,0
19858,242,87,289,39,0
18166,80,424,110,202,189
17988,125,144,98,166,6
15681,126,378,323,178,0
18133,474,30,474,21,6
5541,366,138,168,333,0
19405,401,7,392,13,0
18026,453,51,460,34,7
18003,233,271,245,250,6
1908,146,24,153,10,5
18020,434,70,435,58,8
17954,401,103,390,107,4
18047,456,48,442,55,4
3180,429,75,434,26,41
18024,315,189,326,159,16
18033,315,189,409,85,7
18004,374,130,385,93,23
18051,424,80,311,184,6
18012,380,124,479,22,0
386,410,94,410,47,44
18134,459,45,425,75,1
18135,414,90,143,358,0
15769,369,135,280,178,43
17968,452,52,423,66,12
18010,339,165,368,42,91
12270,449,55,430,28,43
18136,462,42,453,48,0
18137,498,6,494,7,0
18138,484,20,481,20,0
18220,483,16,461,36,0
11129,4,0,3,0,0
17379,185,26,186,26,0
18139,313,191,442,58,1
11097,349,155,399,75,27
11999,402,102,376,101,24
17948,410,94,413,88,0
18142,493,11,473,28,0
5486,430,74,446,23,32
18140,310,194,340,159,2
17947,426,78,401,95,5
1792,355,149,392,73,36
18141,404,100,418,77,6
17950,466,38,444,51,6
15676,473,31,433,68,0
5415,154,5,158,0,0
5504,418,86,314,182,5
17987,178,326,190,308,3
2086,7,7,7,6,0
9540,346,158,330,110,61
18143,409,95,321,157,23
18144,257,247,281,184,36
18145,22,111,62,62,9
17047,149,10,145,13,0
15653,416,88,360,130,11
15831,477,27,474,10,17
5542,380,124,412,89,0
9684,461,26,398,81,8
18146,439,65,425,76,0
15799,400,104,131,370,0
18147,461,43,456,39,6
15785,438,66,402,87,12
5549,487,17,338,163,0
7741,403,101,399,69,33
8715,132,372,142,342,17
17989,458,46,499,1,1
17979,460,44,465,36,0
18218,369,130,390,98,9
17946,403,101,356,145,0
2340,320,126,365,47,31
15836,492,12,460,32,9
15803,460,44,424,63,14
20106,275,19,204,86,0
19404,380,28,373,26,6
20104,282,12,273,17,0
17650,400,104,418,83,0
8885,376,128,177,324,0
8473,496,8,494,4,3
5785,433,71,458,29,14
5399,339,165,142,349,10
15658,482,22,449,52,0
16532,415,89,378,96,27
8889,66,1,65,2,0
11096,474,30,356,133,12
6548,462,42,472,29,0
2274,340,164,334,156,11
18041,37,467,419,46,36
17980,319,185,424,63,14
19623,302,34,327,9,0
18148,463,41,453,47,1
18149,455,49,416,46,39
18150,477,27,482,19,0
18151,471,33,455,34,12
18152,388,116,383,101,17
18153,12,492,14,441,46
4339,391,113,375,126,0
11116,0,4,1,2,0
